Output Phase CH1,Amplitude CH1,Offset CH1,Output Phase CH2,Amplitude CH2,Offset CH2,Output Phase CH3,Amplitude CH3,Offset CH3,Time Stamp
deg,V,V,deg,V,V,deg,V,V,s
0.0,1.2325048415172861,1.2696474280832801,110.58463001362045,0.424837178607289,0.49023558643149895,215.32436028807237,1.1895461674080958,1.2853931887017727,16276
0.0,1.2106702200941546,1.2799077482322174,108.59732140585896,0.4340643858016612,0.49346602844320697,216.46397269177703,1.1716915839537891,1.298361851076526,59849
0.0,1.1991400076844818,1.2832509920299369,108.55905747165956,0.43693569184282915,0.4890950218040047,216.9687383133363,1.1754076349398732,1.3053328707811145,62196
0.0,1.191351580055278,1.2897396444844706,108.14837003232299,0.43317457824465394,0.4855862049887484,217.70371715020818,1.1596304555434276,1.3008641378275945,64147
0.0,1.1874131973988926,1.2906869994421528,107.9557871348394,0.43545425414716865,0.48735461585116324,218.12855731545474,1.1544812164469416,1.298153443788334,65172
0.0,1.1745738377687958,1.279394938119253,107.66776153269528,0.4372709672111332,0.48789220432565483,217.84388178856975,1.1438436436574198,1.2816465130422714,76501
0.0,1.1702661069009412,1.277061781343912,107.92549408347219,0.434623739098607,0.48594878421698884,217.91738628737124,1.146732920179427,1.2807507324634417,80471
0.0,1.1738774394632039,1.2828210972771963,108.13263407794948,0.4391523059627157,0.4867715176550793,218.02336445286846,1.158327248979334,1.2912695401244254,85878
0.0,1.171197627745895,1.2820355520909845,108.55738174565747,0.4416501984011218,0.48776675351837306,218.02294173655963,1.160560666468017,1.298568710935954,104753
0.0,1.1752185664573818,1.2776988667372884,108.91055191301719,0.44140717514431776,0.4885235153103402,218.0540952569494,1.160626622972227,1.29744876043931,115428
0.0,1.1641791950726856,1.2667265444983782,109.13401969204531,0.4435801530893392,0.4888850161893318,218.03679224432202,1.1666971660687404,1.29293516952608,123053
0.0,1.1434096245653818,1.251365672035806,109.4673799603203,0.44414883646205333,0.49005973753103715,217.69878158376906,1.1606108688916479,1.292727622708368,139856
0.0,1.1603083006541872,1.2697094174047352,109.24418402304391,0.4456995184284821,0.4922574683044124,218.07753515745236,1.1665317460599136,1.3083472159825,150744
0.0,1.169179633145341,1.2750241573932721,108.97430020770398,0.4398245315367006,0.48852911663591614,218.96484571291728,1.165464156770636,1.2998158222167435,196057
0.0,1.1540027473143044,1.2592486600755346,109.15620152548799,0.44508901111489724,0.48909334836454027,218.48544822953264,1.1612794219858702,1.286550389306346,208054
0.0,1.1377556651463436,1.2419444031157865,109.1411312110881,0.43609514995594184,0.48485204347141986,218.0015353268565,1.1404119383259808,1.2792814203587184,227390
0.0,1.1541593435455837,1.2646827374437035,109.19402840304049,0.4434473082224266,0.4899612775180294,218.09135775752765,1.1517478803033332,1.3016367744150474,231366
